album_id,title,release_date,thumbnail_url
3lS1y25WAhcqJDATJK70Mq,Midnights (3am Edition),2022-10-22,https://i.scdn.co/image/ab67616d00001e02e0b60c608586d88252b8fbc0
6kZ42qRrzov54LcAk4onW9,Red (Taylor's Version),2021-11-12,https://i.scdn.co/image/ab67616d00001e02318443aab3531a0558e79a4d
4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),2021-04-09,https://i.scdn.co/image/ab67616d00001e02a48964b5d9a3d6968ae3e0de
6AORtDjduMM3bupSWzbTSG,evermore (deluxe version),2021-01-07,https://i.scdn.co/image/ab67616d00001e0290fd9741e1838115cd90b3b6
1pzvBxYgT6OVwJLtHkrdQK,folklore (deluxe version),2020-08-18,https://i.scdn.co/image/ab67616d00001e02c288028c2592f400dd0b9233
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647
6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,https://i.scdn.co/image/ab67616d00001e02da5d5aeeabacacc1263c0f4b
34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,https://i.scdn.co/image/ab67616d00001e02332d85510aba3eb28312cfb2
1KlU96Hw9nlvqpBPlSqcTV,Red (Deluxe Edition),2012-10-22,https://i.scdn.co/image/ab67616d00001e02a7613d346501b828b56a0bc3
5EpMjweRD573ASl7uNiHym,Speak Now (Deluxe Edition),2010-10-25,https://i.scdn.co/image/ab67616d00001e022e4ec3175d848eca7b76b07f
43OpbkiiIxJO8ktIB777Nn,Fearless Platinum Edition,2008-11-11,https://i.scdn.co/image/ab67616d00001e0234e5885465afc8a497ac1b7e
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,2006-10-24,https://i.scdn.co/image/ab67616d00001e022f8c0fd72a80a93f8c53b96c
